Date,AAPL,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,MSFT,NVDA,PFE,TSLA,WMT,XOM
2015-02-03,26.279130935668945,18.177499771118164,12.608708381652832,67.64572143554688,26.46504020690918,144.9762420654297,75.43883514404297,42.21653747558594,29.42295265197754,35.37928771972656,0.4825315475463867,18.78583335876465,14.557332992553711,23.297624588012695,57.173954010009766
2015-02-04,26.480676651000977,18.237499237060547,12.5293607711792,66.91695404052734,26.107736587524414,143.80181884765625,74.6289291381836,41.9634895324707,29.458288192749023,35.583404541015625,0.4837311804294586,18.981149673461914,14.569999694824219,23.421968460083008,56.68431854248047
2015-02-05,26.66968536376953,18.694499969482422,12.672192573547363,67.50981903076172,26.29283905029297,145.4025115966797,75.43883514404297,42.25374221801758,29.536029815673828,36.10218811035156,0.4916495084762573,19.525659561157227,14.732666969299316,23.592260360717773,57.242149353027344
2015-02-06,26.445100784301758,18.714000701904297,13.084813117980957,67.69511413574219,26.493818283081055,147.54205322265625,74.43750762939453,43.08736801147461,29.295740127563477,36.06817626953125,0.48949000239372253,19.632200241088867,14.490667343139648,23.605772018432617,57.13597869873047
2015-02-09,26.620765686035156,18.527999877929688,12.97372055053711,68.20152282714844,26.265548706054688,146.56883239746094,73.46560668945312,43.03526306152344,29.140247344970703,36.02564239501953,0.48901015520095825,19.57301139831543,14.498666763305664,23.221942901611328,57.17343521118164
2015-02-10,27.132190704345703,18.649999618530273,13.029263496398926,68.04715728759766,26.805465698242188,148.4509735107422,73.88526153564453,43.51160430908203,29.967166900634766,36.229740142822266,0.5026869177818298,20.21222686767578,14.419333457946777,23.5949649810791,56.83000946044922
2015-02-11,27.768131256103516,18.756999969482422,12.981657028198242,67.92361450195312,26.698274612426758,150.93638610839844,73.90739440917969,43.44462585449219,29.945960998535156,36.04266357421875,0.49932777881622314,20.27140998840332,14.186667442321777,23.338172912597656,56.573970794677734
2015-02-12,28.119462966918945,18.85849952697754,13.227641105651855,69.13980102539062,27.09577178955078,152.64968872070312,72.47901916503906,44.337764739990234,29.804603576660156,36.646484375,0.5350797772407532,20.63836669921875,13.525333404541016,23.21653938293457,57.67924880981445
2015-02-13,28.257320404052734,19.09149932861328,13.180030822753906,70.33721923828125,27.351343154907227,152.02224731445312,73.34783172607422,44.4122200012207,29.677398681640625,37.30984115600586,0.5353196263313293,20.502243041992188,13.584667205810547,23.194910049438477,58.303680419921875
2015-02-17,28.424087524414062,18.771499633789062,13.19589900970459,70.10020446777344,27.046146392822266,152.8427276611328,73.9515609741211,44.732269287109375,29.550172805786133,37.32698440551758,0.5369993448257446,20.46672821044922,13.623332977294922,23.235448837280273,58.10383987426758
2015-02-18,28.62200164794922,18.668500900268555,12.934041023254395,68.87784576416016,26.92902946472168,151.75686645507812,73.59815979003906,44.188926696777344,29.493621826171875,37.28416442871094,0.5307605862617493,20.407541275024414,13.630666732788086,23.324663162231445,56.83000946044922
2015-02-19,28.561954498291016,18.950000762939453,12.862629890441895,67.57438659667969,27.117605209350586,152.11074829101562,74.14298248291016,44.08472442626953,29.7622013092041,37.258445739746094,0.532200276851654,20.366113662719727,14.11400032043457,22.575904846191406,55.84963607788086
2015-02-20,28.795434951782227,19.183000564575195,12.997522354125977,67.73029327392578,26.886852264404297,154.04122924804688,74.33576202392578,44.50897979736328,29.663249969482422,37.566795349121094,0.5360398292541504,20.454896926879883,14.473999977111816,22.786754608154297,56.14936447143555
2015-02-23,29.573688507080078,19.006999969482422,12.854695320129395,67.26878356933594,26.549402236938477,153.07601928710938,74.27642822265625,44.17404556274414,29.57844352722168,37.81519317626953,0.5317205190658569,20.354276657104492,13.822667121887207,22.86783218383789,55.58113098144531
2015-02-24,29.389141082763672,18.929500579833984,12.997522354125977,67.33116912841797,26.730533599853516,154.61224365234375,74.66197967529297,45.268150329589844,29.77633285522461,37.7637939453125,0.5373809337615967,20.32468605041504,13.607333183288574,22.859731674194336,55.83713912963867
2015-02-25,28.637550354003906,19.26849937438965,13.084813117980957,67.71782684326172,27.161279678344727,154.21009826660156,75.04011535644531,45.50633239746094,29.719785690307617,37.67814636230469,0.5332860350608826,20.514080047607422,13.583999633789062,22.58942413330078,55.94953918457031
2015-02-26,29.0,19.239999771118164,12.727738380432129,66.76982116699219,27.75479507446289,155.08154296875,76.21900939941406,45.833824157714844,30.009572982788086,37.73811721801758,0.5347311496734619,20.47264862060547,13.812666893005371,22.651592254638672,55.356353759765625
2015-02-27,28.564184188842773,19.007999420166016,12.5452299118042,66.53286743164062,27.9205379486084,153.13693237304688,76.00399780273438,45.610538482666016,30.6032657623291,37.5582275390625,0.5313590168952942,20.312847137451172,13.555999755859375,22.686731338500977,55.28764343261719
2015-03-02,28.704269409179688,19.283000946044922,12.70393180847168,66.04640197753906,28.53539276123047,154.750732421875,76.53040313720703,45.97522735595703,30.53258514404297,37.58393859863281,0.5443661212921143,20.57918357849121,13.155332565307617,22.694847106933594,54.97541046142578
2015-03-03,28.76430892944336,19.230499267578125,12.727738380432129,65.58488464355469,28.72248077392578,154.33114624023438,75.87792205810547,46.12411117553711,30.355894088745117,37.070030212402344,0.5342493653297424,20.454896926879883,13.303999900817871,22.535362243652344,54.71315383911133
2015-03-04,28.58196449279785,19.13599967956543,12.608336448669434,65.58488464355469,28.69965362548828,153.04014587402344,75.36631774902344,46.24319076538086,30.037851333618164,36.881587982177734,0.5402712225914001,20.502243041992188,13.496000289916992,22.321819305419922,54.43840789794922
2015-03-05,28.10833740234375,19.39150047302246,12.73569393157959,65.31669616699219,28.85349464416504,153.3709716796875,76.0113754272461,46.14642333984375,29.967166900634766,36.92441177368164,0.550628662109375,20.401630401611328,13.375332832336426,22.58942413330078,54.16366958618164
2015-03-06,28.150592803955078,19.004499435424805,12.910809516906738,64.58078002929688,28.430191040039062,150.81314086914062,74.22455596923828,45.32026290893555,29.345199584960938,36.28202438354492,0.5431618690490723,20.10569190979004,12.925333023071289,22.324525833129883,53.47053527832031
2015-03-09,28.27066421508789,18.92799949645996,12.871013641357422,64.83023071289062,28.48973846435547,151.6361541748047,74.63233184814453,45.7742805480957,29.253337860107422,36.70171356201172,0.5446068644523621,20.14120864868164,12.725333213806152,22.402917861938477,53.17704391479492
2015-03-10,27.68585968017578,18.475500106811523,12.5685396194458,64.18161010742188,27.78258514404297,147.42431640625,73.79450988769531,44.628055572509766,28.758588790893555,35.99937438964844,0.5540009140968323,19.993242263793945,12.687999725341797,22.183963775634766,52.61504364013672
2015-03-11,27.181106567382812,18.318500518798828,12.82325267791748,64.57453918457031,27.576143264770508,148.61041259765625,72.89737701416016,44.83646774291992,28.34158706665039,35.95655059814453,0.551110565662384,19.904451370239258,12.916000366210938,21.941951751708984,52.465187072753906
2015-03-12,27.67251968383789,18.711999893188477,12.807330131530762,63.87602615356445,27.84808921813965,153.26608276367188,74.0169448852539,45.67751693725586,28.91169548034668,35.1342887878418,0.546052098274231,20.123443603515625,12.73799991607666,22.27098274230957,52.59006881713867
2015-03-13,27.481285095214844,18.52899932861328,12.807330131530762,63.37710952758789,27.442649841308594,152.77386474609375,73.55725860595703,45.402122497558594,28.441360473632812,35.4426383972168,0.5467747449874878,20.123443603515625,12.578666687011719,22.27098274230957,52.37153244018555
